gene,n_R248W,n_other_mut,median_R248W,median_other_mut,cohens_d,ci_lower,ci_upper,mann_whitney_U,p_value,biology,fdr,significant
ADH5,69,726,-0.22037616204079,-0.2233013550510649,0.07733255984665392,-0.16960676543533088,0.3242718851286387,25611.0,0.7572258879796909,,0.9846141703822358,False
LPAR1,69,726,0.0150736578525957,-0.0147900487256395,0.07733962915327935,-0.16959970147764694,0.3242789597842056,26830.0,0.32815015264990466,,0.9460537800805741,False
MRS2,69,726,0.0321827634226602,0.0212030698816189,0.07739729652599407,-0.16954207775680563,0.3243366708087938,27701.0,0.14548628301321426,,0.891064890439752,False
ARL6IP1,69,726,-0.051727707829598,-0.0473475109876437,0.07741585264035124,-0.16952353569559558,0.32435524097629803,26153.0,0.544211358379062,,0.9748505361733226,False
MGAT5B,69,726,0.015738521331538,0.0165015493209152,0.07743111358954072,-0.16950828630654177,0.3243705134856232,25766.0,0.6934659596264572,,0.982517665309694,False
SNX4,69,726,-0.0042733423159039,-0.00518471391364365,0.07745499822987374,-0.16948441976334438,0.32439441622309184,26624.0,0.3871272248766007,,0.9582450604945506,False
IDH1,69,726,-0.0861435278528801,-0.08941878138179679,0.07745699457088416,-0.16948242493519278,0.3243964140769611,26190.0,0.5308201906001279,,0.9733864944333841,False
PPL,69,726,-0.1820144359798872,-0.2002360123493,0.07749136299849384,-0.16944808255863458,0.32443080855562223,26426.0,0.4495174655226204,,0.965086619004918,False
ZNF823,69,726,0.0720955392329627,0.07074005235759614,0.07752487455773013,-0.16941459641207418,0.32446434552753445,25995.0,0.6032161803234048,,0.9813551749863859,False
VWA7,69,726,0.0569618243732286,0.0652319666334798,0.07752523120964715,-0.1694142400306745,0.32446470244996883,25322.0,0.8803025834974293,,0.9883973465680904,False
GPR139,69,726,0.0323925784247258,0.0316330277510118,0.07753071766831236,-0.16940875773359737,0.32447019307022207,25061.0,0.9940910394093161,,0.9994254118443194,False
AGBL3,69,726,-0.073676711707263,-0.0853236599916154,0.07757350614744248,-0.1693660017204825,0.3245130140153674,25735.0,0.7060622490477628,,0.982517665309694,False
FCGR3A,68,716,0.10420010760915055,0.08383117850081301,0.07759145965150298,-0.17114928279777059,0.3263322021007765,25885.0,0.38803286956951266,,0.9582450604945506,False
RNF144A,69,726,0.201824694000925,0.18331098023710685,0.07761550051190225,-0.16932403923691158,0.3245550402607161,26080.0,0.5711147602293123,,0.9771611017224141,False
DMKN,69,726,-0.1719334621087424,-0.19828177920828455,0.07762463121172108,-0.16931491547113509,0.32456417789457725,26237.0,0.5140542909379258,,0.9713887122782113,False
DDX1,69,726,-0.3676075949205602,-0.3736974700188618,0.0776859968805545,-0.16925359642581775,0.3246255901869267,25854.0,0.6581773093740604,,0.9813551749863859,False
SQSTM1,69,726,-0.0808481603360368,-0.08114102349001864,0.07769771139192094,-0.1692418908189195,0.3246373136027614,25500.0,0.8039540017919813,,0.9855497901217778,False
TFAP2A,69,726,0.0335489953323193,0.04970262173188095,0.07771346266993709,-0.16922615151592607,0.32465307685580025,24912.0,0.9411820797322563,,0.9939704964319397,False
MCUR1,69,726,0.0378516816855601,0.02057982778196565,0.0777247102541908,-0.1692149124842146,0.32466433299259617,26511.0,0.42206192101778006,,0.9640280692908827,False
EXOSC2,69,726,-1.190204597324501,-1.20363241596747,0.07772506375901933,-0.16921455924820739,0.32466468676624605,26374.0,0.4668012383077619,,0.965086619004918,False
OR4D5,61,640,-0.0972731230535204,-0.0934423302652948,0.07772558337070186,-0.18494068235681776,0.34039184909822146,19950.0,0.7762539777570233,,0.9855497901217778,False
ERMARD,69,726,0.0468794831226937,0.038902663307501806,0.0777322129333989,-0.16920741551065116,0.324671841377449,26063.0,0.5774696216949389,,0.9778393076401718,False
CCSER2,69,726,0.1128353890222237,0.11224584625879841,0.0777436447771846,-0.1691959923616236,0.3246832819159928,25821.0,0.6713267206946706,,0.9822617193046083,False
ZNF470,69,726,0.0465568533042967,0.043232030282891354,0.0777534233781813,-0.16918622119898669,0.32469306795534925,25917.0,0.6333680337616514,,0.9813551749863859,False
FADS6,69,726,-0.0702233826760478,-0.1013850056168757,0.07777641395000863,-0.16916324811925,0.3247160760192673,26192.0,0.5301011360196467,,0.9733615477456946,False
OR13F1,61,640,-0.1895654869232114,-0.1836357177553938,0.07779996502738189,-0.18486636103681797,0.3404662910915818,19940.0,0.7813294104797435,,0.9855497901217778,False
CYP27C1,69,726,-0.0253793233628234,-0.00949903716557935,0.07780716661876222,-0.1691325188563651,0.32474685209388954,25447.0,0.8265267006168696,,0.9855497901217778,False
TMCO4,69,726,-0.1077040124309711,-0.10977519984046405,0.07781745461519395,-0.16912223869219667,0.32475714792258453,26021.0,0.5933109656066793,,0.9797897114767451,False
