gene,score,logfoldchange,pval,pval_adj,subtype
TMEM132D,10.134828,,3.870574051974856e-24,6.987648307527215e-22,NPY_NGF
DPP6,10.021162,,1.230477208893562e-23,2.174148506650337e-21,NPY_NGF
MTUS2,9.969896,,2.0644410859135228e-23,3.609294946940811e-21,NPY_NGF
CACNA1B,9.933356,,2.980503841313928e-23,5.156582114623232e-21,NPY_NGF
NPTXR,9.917312,,3.5005718388642054e-23,5.993917285741813e-21,NPY_NGF
PKP2,9.9059,,3.924188810692134e-23,6.6506991792638415e-21,NPY_NGF
GRIA4,9.836775,,7.817694651669771e-23,1.2855850541542894e-20,NPY_NGF
CNTN5,9.797916,,1.1493175337096193e-22,1.8714720507238302e-20,NPY_NGF
GAD2,9.662626,,4.34579215635691e-22,7.007695332517662e-20,NPY_NGF
PDZD2,9.5729685,,1.0387961380658654e-21,1.6589774093399961e-19,NPY_NGF
HDAC9,9.542146,,1.3990651667886097e-21,2.213054605256383e-19,NPY_NGF
RALYL,9.511214,,1.8844956311023012e-21,2.952791314809257e-19,NPY_NGF
NXPH2,9.455711,,3.2083258701840884e-21,4.980101343727806e-19,NPY_NGF
ABI1,9.300617,,1.3963293207454342e-20,2.1473734896537885e-18,NPY_NGF
TPD52L1,9.264899,,1.9526090124169428e-20,2.9482620988393638e-18,NPY_NGF
GNG4,9.254213,,2.1581370434677777e-20,3.229234068014083e-18,NPY_NGF
CHD3,9.251209,,2.219660830144762e-20,3.2916381007030667e-18,NPY_NGF
NEDD4L,9.210335,,3.2510883827463814e-20,4.778524508764128e-18,NPY_NGF
GRM5,9.189224,,3.9568417235702973e-20,5.7147116684155716e-18,NPY_NGF
PID1,9.164104,,4.9959878064641546e-20,7.09216764765497e-18,NPY_NGF
GAS7,9.162716,,5.060737321412093e-20,7.123202217909614e-18,NPY_NGF
RIMS1,9.083233,,1.0539701155356096e-19,1.4710411469689867e-17,NPY_NGF
CTC-321K16.1,8.990376,,2.4638505119952744e-19,3.410174429477459e-17,NPY_NGF
FAT1,8.966728,,3.054523763672871e-19,4.192775635606836e-17,NPY_NGF
